09:27:01,956220 len:66, 192.168.43.36:10877 -> 192.168.43.36:443, flags:[SYN]
09:27:02,602258 len:86, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:27:02,608007 len:78, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:27:03,184740 len:66, 192.168.43.36:10878 -> 192.168.43.36:443, flags:[SYN]
09:27:03,505841 len:66, 192.168.43.36:10880 -> 192.168.43.36:443, flags:[SYN]
09:27:03,521806 len:66, 192.168.43.36:10879 -> 192.168.43.36:443, flags:[SYN]
09:27:03,555946 len:86, 26.64.218.88:24577 -> 26.64.218.88:62782, flags:[]
09:27:03,828368 len:86, 26.64.218.88:24577 -> 26.64.218.88:26916, flags:[]
09:27:03,828443 len:86, 26.64.218.88:24576 -> 26.64.218.88:20752, flags:[]
09:27:04,177045 len:66, 192.168.43.36:10884 -> 192.168.43.36:443, flags:[SYN]
09:27:04,322729 len:86, 26.64.218.88:24585 -> 26.64.218.88:47923, flags:[]
09:27:07,822126 len:93, 192.168.43.36:59082 -> 192.168.43.36:53, flags:[FIN]
09:27:07,822423 len:93, 192.168.43.36:64507 -> 192.168.43.36:53, flags:[FIN]
09:27:07,871366 len:252, 192.168.43.1:53 -> 192.168.43.1:59082, flags:[FIN]
09:27:07,885523 len:93, 192.168.43.36:64507 -> 192.168.43.36:53, flags:[FIN]
09:27:07,901814 len:292, 192.168.43.1:53 -> 192.168.43.1:64507, flags:[FIN]
09:27:07,973386 len:54, 52.114.158.52:443 -> 52.114.158.52:10443, flags:[RST,ACK]
09:27:08,438704 len:66, 192.168.43.36:10886 -> 192.168.43.36:443, flags:[SYN]
09:27:08,650149 len:76, 192.168.43.36:53006 -> 192.168.43.36:53, flags:[FIN]
09:27:08,657503 len:104, 192.168.43.1:53 -> 192.168.43.1:53006, flags:[FIN]
09:27:08,685021 len:66, 192.168.43.36:10887 -> 192.168.43.36:443, flags:[SYN]
09:27:08,733029 len:86, 26.64.218.88:24588 -> 26.64.218.88:61435, flags:[]
09:27:08,796629 len:86, 26.64.218.88:24583 -> 26.64.218.88:22484, flags:[]
09:27:08,896766 len:86, 64.1.1.128:24647 -> 64.1.1.128:57030, flags:[FIN]
09:27:08,896827 len:74, 26.64.218.88:24583 -> 26.64.218.88:22484, flags:[]
09:27:08,927920 len:86, 26.64.218.88:24588 -> 26.64.218.88:29665, flags:[]
09:27:09,046154 len:296, 26.64.218.88:24583 -> 26.64.218.88:22484, flags:[]
